customer_id,first_name,last_name,dob,gender,address,city,state,zip
C036,Crystal,Miller,2000-08-26,F,0797 Jeffery Crescent,Amyberg,VT,98982
C037,Thomas,Gregory,2000-12-30,M,640 Joseph Skyway,North Jonathanhaven,OR,93557
C038,Randy,Garcia,1966-06-18,F,3910 Laura Inlet Suite 183,North Robert,LA,68636
C039,Dennis,Mills,1963-08-01,M,8644 Watson Road,East David,MS,53089
C040,Brittany,Taylor,1994-09-30,M,7637 Neal Island Suite 074,Lake Tyler,RI,28775
C041,Anthony,Ruiz,1949-12-17,M,160 Williams River,West Morganport,IN,18940
C042,Karen,Roberts,1956-06-13,M,5625 Wong Spur Suite 272,Davidburgh,MI,51471
C043,Ronald,Vasquez,1998-12-07,M,73906 Jim Corner,West Brian,TX,23225
C044,Jesse,Evans,1955-03-03,F,6708 Carpenter Overpass Suite 735,Bobbyton,MI,1008
C045,Keith,Smith,1953-08-10,M,396 Shawn Junction Apt. 915,Amandamouth,AK,68919
C046,Bradley,Wood,1963-07-15,M,34448 Scott Key Apt. 048,North Stevenmouth,MT,65195
C047,Steven,Wilson,1954-10-26,F,26379 Lisa Points,Williamsburgh,NM,29343
C048,David,Pitts,1973-03-26,F,1849 Jennifer Tunnel Suite 897,Josephtown,RI,93812
C049,Corey,Quinn,1966-03-15,M,0886 David Rue,Davidshire,IN,88959
C050,Jennifer,Payne,1968-06-22,F,318 Leonard Fort,Courtneyport,GA,18495
C051,Lisa,Tran,1971-08-02,F,026 Theresa Pass Apt. 237,East Jessica,IN,50912
C052,Michael,Garza,1992-01-28,M,90895 Bryant Bridge Apt. 827,Payneland,DC,79708
C053,Richard,Lee,1970-10-21,F,0305 Matthew Mill Apt. 452,Andreshire,AR,96486
C054,Crystal,Gomez,1982-09-10,M,30035 Lori Key,Taylorborough,NE,19120
C055,Michael,Thompson,1971-08-25,F,0648 Malone Port Apt. 662,New Devonhaven,VA,92199
C056,Eddie,Rivera,2006-06-11,F,02821 Pennington Rapid,New Courtneyberg,PA,5750
C057,Johnny,Shaffer,1999-02-18,M,07154 Stephen Parkways Suite 265,Lindafurt,ME,70013
C058,Rachel,Pierce,1951-08-26,F,076 Richard Park Apt. 040,Erinshire,WI,38482
C059,Wanda,Gill,2001-03-02,F,4319 Ballard Gardens Suite 225,New Lisashire,MI,48105
C060,Kelly,Carter,1982-12-12,M,620 Ashley Mills Apt. 507,Julieborough,OH,56059
C061,Joshua,Greer,1985-04-22,F,29188 Fischer Grove,Justinchester,VT,37258
C062,Sophia,Medina,1987-01-04,M,3620 Kristen Squares Suite 570,Fieldsbury,AK,47978
C063,Allison,Pugh,1995-07-25,M,570 Ashley Garden,Jacobchester,OK,59244
C064,Joel,Reeves,1983-11-26,M,27166 King Throughway,Chelsealand,AK,65056
C065,Alex,King,2001-02-24,M,6609 Gomez Port Apt. 945,South Thomashaven,AZ,11181
C066,Ashlee,Reed,1949-07-30,F,18705 Leroy Crossroad,Richardberg,FL,53480
C067,Michelle,Dixon,1960-05-11,F,70808 Herring Key,North Anitaview,KS,43484
C068,Isabella,King,1966-11-30,M,78209 Darlene Bypass Suite 137,Port Stephen,VT,44235
C069,Roberta,Taylor,2001-10-10,M,185 Lisa Common,South Cathyshire,MA,50054
C070,William,Archer,1992-08-03,M,50220 Blackwell Fields,South Deannaport,MS,7347
C071,Caroline,Bauer,1960-09-18,M,60759 Chambers Port Suite 620,Langborough,CA,47373
C072,Cole,Johnson,1950-09-22,M,9057 Alvarez Walks,New Michelleview,SD,68116
C073,Cody,Serrano,1971-12-22,M,70284 Aaron Junction Apt. 822,Port Samantha,TX,32296
C074,Sherry,Villa,1971-08-12,F,6033 Murphy Freeway,Jeremychester,MN,74606
C075,Devin,Cunningham,1950-03-10,F,062 Andrew View,Williamton,WI,15168
C076,Ashley,Hernandez,1959-09-11,M,66953 Michael Forge Suite 126,Tammychester,NE,32698
C077,Thomas,Walker,1976-02-21,M,769 Mary Harbor,Amyfort,IA,36713
C078,Billy,Morris,2003-08-01,F,180 Jennifer Burg Suite 661,Munozburgh,MA,62676
C079,Robert,Lawrence,1968-07-30,F,5257 James Glens,Lake Brandy,MS,83656
C080,Blake,Arnold,1951-08-25,F,6352 Daniel Knolls Apt. 069,Fordland,NE,71923
C081,Jessica,Taylor,1959-09-07,F,30827 Yoder Road,Jennifermouth,DE,54092
C082,Kiara,Green,1960-01-18,F,858 Rhonda Streets Suite 365,Fryhaven,MT,53755
C083,Lisa,Vega,1959-10-03,M,99813 Joseph Street,South Christopher,AL,15626
C084,Patricia,Roth,1981-12-25,F,75947 Sandra Points Apt. 820,New Robert,IL,57934
C085,Jean,Sullivan,1950-09-18,M,2790 Noble Corners,Cookhaven,NH,5626
C086,Timothy,Garcia,2005-12-20,F,674 Jerry Lakes Apt. 492,Jonesland,MO,74703
C087,Stephanie,Hawkins,1967-05-05,F,14251 Dominique Centers Apt. 983,North Michelleside,WV,79370
C088,Tracy,Vaughn,1981-06-16,M,1033 Roberson Inlet Suite 307,Staceyhaven,CO,10659
C089,Kevin,Henderson,1999-07-24,M,2343 Keller Tunnel Suite 469,Port Kimberly,MI,66070
C090,Misty,Perez,1997-07-16,M,564 Kaufman Trafficway Suite 174,South Ericbury,HI,44815
C091,Victor,Rodriguez,1975-05-26,F,8799 Emma Parkway Suite 735,North Thomasfurt,IN,57039
C092,Tracey,Johnston,1952-01-10,M,43521 Laura Lakes Apt. 300,Nicholsberg,PA,79914
C093,Sarah,Gonzalez,1999-09-14,M,08961 Sara Forks Suite 670,Clarkton,KY,4243
C094,Brandi,Padilla,2005-07-22,F,729 Johnathan Cove Apt. 402,South Jamie,MD,26932
C095,Robert,Mason,1987-05-09,M,718 Harrison Motorway,Davidview,CO,74554
C096,William,Wilkins,1965-03-02,F,57607 Andrea Track Suite 363,Thomasberg,NV,37662
C097,Michael,Tucker,1959-05-26,F,48102 Johnson Ways,Port Rachel,TX,25094
C098,Robert,Lee,1975-11-15,M,8352 Hernandez Spurs,Nolanshire,PA,58353
C099,Antonio,Freeman,1990-05-16,M,300 Dennis Mills Apt. 186,Nicolemouth,TX,25685
C100,Frank,Grant,1973-07-14,M,7571 Jeffrey Crescent Apt. 678,West Janet,MO,27675
